date,month,year_month_id,expense,value,paid
2024-10-31,May,202405,rent,1010,1
2024-10-31,May,202405,savings,1200,1
2024-10-31,May,202405,groceries,752.89,1
2024-10-31,May,202405,keegan_ira,200,1
2024-10-31,May,202405,skate,0,1
2024-10-31,May,202405,ellevest,0,1
2024-10-31,May,202405,electric,91.44,1
2024-10-31,May,202405,olivia_ira,0,1
2024-10-31,May,202405,marcus_hysa,0,1
2024-10-31,May,202405,olivia_brokerage,0,1
2024-10-31,May,202405,water,80.35,1
2024-10-31,May,202405,phone,0,1
2024-10-31,May,202405,gas,80,1
2024-10-31,May,202405,internet,70,1
2024-10-31,May,202405,olivia_car_insurance,0,1
2024-10-31,May,202405,cat,50.84,1
2024-10-31,May,202405,keegan_car_insurance,40,1
2024-10-31,May,202405,baby,0,1
2024-10-31,May,202405,spotify,0,1
2024-10-31,May,202405,aws,5.75,1
2024-10-31,May,202405,oura,5,1
2024-10-31,May,202405,heroku,0,1
2024-10-31,May,202405,willow_creek,0,1
2024-10-31,May,202405,flex_spend,0,1
2024-10-31,June,202406,rent,1010,1
2024-10-31,June,202406,savings,1500,1
2024-10-31,June,202406,groceries,1046.21,1
2024-10-31,June,202406,keegan_ira,200,1
2024-10-31,June,202406,skate,231.78,1
2024-10-31,June,202406,ellevest,0,1
2024-10-31,June,202406,electric,347.47,1
2024-10-31,June,202406,olivia_ira,0,1
2024-10-31,June,202406,marcus_hysa,0,1
2024-10-31,June,202406,olivia_brokerage,0,1
2024-10-31,June,202406,water,63.27,1
2024-10-31,June,202406,phone,0,1
2024-10-31,June,202406,gas,34.58,1
2024-10-31,June,202406,internet,69.99,1
2024-10-31,June,202406,olivia_car_insurance,0,1
2024-10-31,June,202406,cat,67.61,1
2024-10-31,June,202406,keegan_car_insurance,45.33,1
2024-10-31,June,202406,baby,161,1
2024-10-31,June,202406,spotify,0,1
2024-10-31,June,202406,aws,5.75,1
2024-10-31,June,202406,oura,5.99,1
2024-10-31,June,202406,heroku,12.84,1
2024-10-31,June,202406,willow_creek,226.16,1
2024-10-31,June,202406,flex_spend,0,1
2024-10-31,July,202407,rent,1010,1
2024-10-31,July,202407,savings,0,1
2024-10-31,July,202407,groceries,850.9,1
2024-10-31,July,202407,keegan_ira,200,1
2024-10-31,July,202407,skate,0,1
2024-10-31,July,202407,ellevest,0,1
2024-10-31,July,202407,electric,206,1
2024-10-31,July,202407,olivia_ira,0,1
2024-10-31,July,202407,marcus_hysa,0,1
2024-10-31,July,202407,olivia_brokerage,0,1
2024-10-31,July,202407,water,84.51,1
2024-10-31,July,202407,phone,131.9,1
2024-10-31,July,202407,gas,85.41,1
2024-10-31,July,202407,internet,69.99,1
2024-10-31,July,202407,olivia_car_insurance,64.8,1
2024-10-31,July,202407,cat,211.54,1
2024-10-31,July,202407,keegan_car_insurance,45.33,1
2024-10-31,July,202407,baby,293,1
2024-10-31,July,202407,spotify,13.16,1
2024-10-31,July,202407,aws,4.63,1
2024-10-31,July,202407,oura,5.99,1
2024-10-31,July,202407,heroku,14,1
2024-10-31,July,202407,willow_creek,2000,1
2024-10-31,July,202407,flex_spend,545.46,1
2024-10-31,August,202408,rent,1010,1
2024-10-31,August,202408,savings,0,1
2024-10-31,August,202408,groceries,648.37,1
2024-10-31,August,202408,keegan_ira,200,1
2024-10-31,August,202408,skate,146.92,1
2024-10-31,August,202408,ellevest,0,1
2024-10-31,August,202408,electric,176.34,1
2024-10-31,August,202408,olivia_ira,0,1
2024-10-31,August,202408,marcus_hysa,0,1
2024-10-31,August,202408,olivia_brokerage,0,1
2024-10-31,August,202408,water,78.61,1
2024-10-31,August,202408,phone,0,1
2024-10-31,August,202408,gas,126.48,1
2024-10-31,August,202408,internet,69.99,1
2024-10-31,August,202408,olivia_car_insurance,64.8,1
2024-10-31,August,202408,cat,67.61,1
2024-10-31,August,202408,keegan_car_insurance,45.33,1
2024-10-31,August,202408,baby,237.77,1
2024-10-31,August,202408,spotify,13.16,1
2024-10-31,August,202408,aws,0,1
2024-10-31,August,202408,oura,5.99,1
2024-10-31,August,202408,heroku,16.45,1
2024-10-31,August,202408,willow_creek,1426.16,1
2024-10-31,August,202408,flex_spend,435.41,1
2024-10-31,September,202409,rent,1010,1
2024-10-31,September,202409,savings,100,1
2024-10-31,September,202409,groceries,908.49,1
2024-10-31,September,202409,keegan_ira,200,1
2024-10-31,September,202409,skate,0,1
2024-10-31,September,202409,ellevest,0,1
2024-10-31,September,202409,electric,174.34,1
2024-10-31,September,202409,olivia_ira,0,1
2024-10-31,September,202409,marcus_hysa,0,1
2024-10-31,September,202409,olivia_brokerage,0,1
2024-10-31,September,202409,water,85.69,1
2024-10-31,September,202409,phone,0,1
2024-10-31,September,202409,gas,128.85,1
2024-10-31,September,202409,internet,69.99,1
2024-10-31,September,202409,olivia_car_insurance,64.8,1
2024-10-31,September,202409,cat,67.61,1
2024-10-31,September,202409,keegan_car_insurance,45.33,1
2024-10-31,September,202409,baby,236.85,1
2024-10-31,September,202409,spotify,13.16,1
2024-10-31,September,202409,aws,0,1
2024-10-31,September,202409,oura,5.99,1
2024-10-31,September,202409,heroku,14,1
2024-10-31,September,202409,willow_creek,212.28,1
2024-10-31,September,202409,flex_spend,341.65,1
2024-10-31,October,202410,rent,1010,1
2024-10-31,October,202410,savings,0,1
2024-10-31,October,202410,groceries,839.07,1
2024-10-31,October,202410,keegan_ira,200,1
2024-10-31,October,202410,skate,0,1
2024-10-31,October,202410,ellevest,0,1
2024-10-31,October,202410,electric,116.4,1
2024-10-31,October,202410,olivia_ira,0,1
2024-10-31,October,202410,marcus_hysa,0,1
2024-10-31,October,202410,olivia_brokerage,0,1
2024-10-31,October,202410,water,80.96,1
2024-10-31,October,202410,phone,203.85,1
2024-10-31,October,202410,gas,156.67,1
2024-10-31,October,202410,internet,69.99,1
2024-10-31,October,202410,olivia_car_insurance,64.8,1
2024-10-31,October,202410,cat,128.93,1
2024-10-31,October,202410,keegan_car_insurance,45.33,1
2024-10-31,October,202410,baby,161.27,1
2024-10-31,October,202410,spotify,13.16,1
2024-10-31,October,202410,aws,0,1
2024-10-31,October,202410,oura,5.99,1
2024-10-31,October,202410,heroku,15.91,1
2024-10-31,October,202410,willow_creek,686.12,1
2024-10-31,October,202410,flex_spend,666.06,1
